iter	Passed	Remaining
403	8445	12459
404	8463	12433
405	8482	12409
406	8499	12383
407	8520	12362
408	8542	12344
409	8562	12321
410	8586	12305
411	8605	12281
412	8626	12260
413	8644	12236
414	8664	12213
415	8683	12190
416	8701	12165
417	8719	12140
418	8735	12113
419	8753	12088
420	8772	12065
421	8790	12040
422	8811	12020
423	8831	11998
424	8849	11972
425	8869	11950
426	8887	11926
427	8908	11905
428	8928	11884
429	8950	11865
430	8972	11845
431	8991	11822
432	9011	11800
433	9034	11782
434	9053	11759
435	9073	11737
436	9094	11716
437	9115	11696
438	9134	11673
439	9154	11651
440	9173	11628
441	9194	11607
442	9215	11586
443	9235	11565
444	9257	11545
445	9275	11521
446	9296	11501
447	9316	11479
448	9337	11458
449	9359	11439
450	9379	11417
451	9399	11395
452	9416	11370
453	9435	11347
454	9459	11330
455	9477	11306
456	9502	11290
457	9522	11268
458	9542	11247
459	9563	11226
460	9582	11204
461	9604	11184
462	9622	11159
463	9639	11135
464	9658	11112
465	9679	11091
466	9698	11069
467	9719	11049
468	9740	11028
469	9762	11008
470	9782	10987
471	9800	10963
472	9821	10942
473	9840	10920
474	9859	10897
475	9876	10872
476	9896	10851
477	9916	10829
478	9936	10807
479	9956	10785
480	9974	10762
481	9994	10740
482	10011	10716
483	10031	10694
484	10051	10672
485	10071	10651
486	10092	10631
487	10110	10607
488	10128	10583
489	10146	10560
490	10164	10536
491	10182	10513
492	10204	10494
493	10221	10469
494	10237	10444
495	10255	10421
496	10277	10401
497	10297	10380
498	10319	10361
499	10341	10341
500	10360	10318
501	10380	10298
502	10400	10276
503	10419	10253
504	10440	10233
505	10462	10214
506	10483	10193
507	10504	10173
508	10526	10154
509	10548	10134
510	10569	10114
511	10587	10091
512	10615	10077
513	10634	10054
514	10650	10030
515	10668	10007
516	10687	9984
517	10708	9964
518	10729	9943
519	10760	9932
520	10779	9910
521	10796	9886
522	10814	9862
523	10833	9841
524	10852	9819
525	10870	9795
526	10893	9777
527	10914	9757
528	10932	9734
529	10950	9710
530	10980	9698
531	10998	9675
532	11018	9654
533	11037	9632
534	11058	9611
535	11078	9590
536	11100	9570
537	11121	9550
538	11139	9527
539	11160	9506
540	11176	9482
541	11194	9459
542	11212	9436
543	11232	9415
544	11252	9394
545	11271	9372
546	11290	9349
547	11307	9326
548	11325	9303
549	11341	9279
550	11359	9256
551	11377	9234
552	11394	9210
553	11416	9190
554	11432	9166
555	11450	9143
556	11470	9122
557	11488	9100
558	11505	9076
559	11527	9057
560	11549	9038
561	11568	9016
562	11587	8994
563	11607	8973
564	11628	8952
565	11650	8933
566	11670	8912
567	11690	8891
568	11708	8868
569	11729	8848
570	11749	8827
571	11767	8805
572	11786	8783
573	11806	8762
574	11828	8742
575	11847	8721
576	11866	8699
577	11884	8676
578	11905	8656
579	11925	8635
580	11947	8615
581	11964	8593
582	11984	8571
583	12004	8551
584	12024	8530
585	12043	8508
586	12072	8493
587	12094	8474
588	12115	8454
589	12132	8431
590	12152	8410
591	12172	8389
592	12194	8369
593	12213	8347
594	12234	8327
595	12252	8305
596	12273	8285
597	12296	8266
598	12316	8245
599	12337	8225
600	12358	8204
601	12376	8182
602	12395	8160
603	12415	8139
604	12435	8119
605	12454	8097
606	12474	8076
607	12495	8056
608	12515	8035
609	12534	8014
610	12551	7991
611	12572	7970
612	12591	7949
613	12610	7927
614	12632	7908
615	12651	7886
616	12669	7864
617	12686	7841
618	12702	7818
619	12723	7798
620	12741	7776
621	12760	7754
622	12783	7735
623	12802	7714
624	12820	7692
625	12842	7672
626	12862	7652
627	12882	7631
628	12899	7608
629	12920	7588
630	12939	7566
631	12957	7544
632	12978	7524
633	12996	7502
634	13015	7481
635	13037	7461
636	13057	7441
637	13077	7420
638	13105	7404
639	13127	7384
640	13148	7363
641	13166	7342
642	13190	7323
643	13211	7303
644	13233	7283
645	13254	7263
646	13274	7242
647	13293	7221
648	13313	7200
649	13333	7179
650	13352	7158
651	13372	7137
652	13392	7116
653	13412	7095
654	13431	7074
655	13449	7052
656	13469	7031
657	13489	7011
658	13511	6991
659	13530	6970
660	13553	6950
661	13572	6929
662	13591	6908
663	13614	6889
664	13632	6867
665	13653	6847
666	13672	6826
667	13694	6806
668	13713	6785
669	13736	6765
670	13756	6745
671	13777	6724
672	13796	6703
673	13817	6683
674	13837	6662
675	13860	6643
676	13877	6620
677	13895	6599
678	13915	6578
679	13934	6557
680	13953	6536
681	13975	6516
682	13993	6494
683	14013	6474
684	14037	6455
685	14060	6435
686	14078	6414
687	14098	6393
688	14117	6372
689	14147	6356
690	14165	6334
691	14185	6313
692	14206	6293
693	14226	6272
694	14249	6253
695	14273	6234
696	14292	6213
697	14311	6191
698	14332	6171
699	14353	6151
700	14372	6130
701	14391	6109
702	14413	6089
703	14434	6069
704	14455	6048
705	14480	6030
706	14501	6009
707	14521	5989
708	14544	5969
709	14565	5949
710	14586	5928
711	14606	5908
712	14626	5887
713	14654	5869
714	14675	5849
715	14694	5828
716	14713	5807
717	14737	5788
718	14758	5768
719	14777	5746
720	14797	5726
721	14818	5705
722	14835	5684
723	14858	5664
724	14877	5643
725	14898	5622
726	14917	5601
727	14938	5581
728	14961	5561
729	14988	5543
730	15010	5523
731	15032	5503
732	15050	5482
733	15071	5461
734	15100	5444
735	15122	5424
736	15145	5404
737	15167	5384
738	15189	5364
739	15209	5343
740	15231	5323
741	15253	5303
742	15276	5284
743	15298	5263
744	15319	5243
745	15341	5223
746	15358	5201
747	15380	5181
748	15400	5160
749	15421	5140
750	15443	5120
751	15462	5099
752	15482	5078
753	15503	5058
754	15524	5037
755	15546	5017
756	15568	4997
757	15589	4977
758	15608	4956
759	15629	4935
